ITEM,FECHA,EVENTO,MUNICIPIO,Familias Damnificadas/ Afectadas,Viviendas Destruidas,Viviendas Averiadas,Acueducto destruidos,Vias Destruidas,Puentes Obstruidos,Establecimientos  Educativos,Afectacion Cultivos Has,Alertas,Albergues,Desaparecidos,Fallecidos,OBSERVACIONES
35,02/27/2023 12:00:00 AM,TORMENTAS ELECTRICAS,FLORIDABLANCA,0,0,0,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias y tormentas eléctricas en el casco urbano y sectores vía a Acapulco, afectaciones en techos y cubiertas, cortes de energía eléctrica por la caída de árboles, se adelantan los EDAN."
36,03/10/2023 12:00:00 AM,SISMO,LOS SANTOS,0,0,35,0,0,0,2,0,N/A,N/A,0,0,"El viernes 10 de marzo del 2023 a las 4:18 minutos,  El Servicio geológico colombiano nos confirmó un sismo de  5.9° Richter, localizado a  11 km del municipio de los Santos con una profundidad de 151 km. El cual fue sentido en 22 departamentos y en los países de Venezuela y Panamá, REPORTAN AFECTACIONES EN 5 VIVIENDAS DE San Gil, 5 en el municipio de Charta, 20 en Matanza, 2 edificios en Floridablanca, un colegio en Vetas y una escuela en Lebrija, continúan los EDAN"
37,03/10/2023 12:00:00 AM,MOVIMIENTO EN MASA,RIONEGRO,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta deslizamientos y perdida de la banca en la vía que comunica al corregimiento Santa Cruz de la Colina con el municipio de Rionegro, se coordina envío de maquinaria para la rehabilitación del paso vehicular."
38,03/13/2023 12:00:00 AM,MOVIMIENTO EN MASA,TONA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta deslizamientos en la vía que conduce del km 16 al municipio en el sector Arbol Solo km 5, la vía hacia Bucaramanga se mantiene cerrada, se coordina traslado de maquinaria para rehabilitar el paso."
39,03/14/2023 12:00:00 AM,CRECIENTE SUBITA,ONZAGA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta creciente súbita del rio Susa, causa debilitamiento en el puente sector Campo Bello, se mantiene monitoreo permanente. Además se presentaron deslizamientos en el sector la Ladrillera que afecta la vía Onzaga – San Joaquín, se coordina traslado de maquinaria para rehabilitar el paso"
40,03/15/2023 12:00:00 AM,INUNDACIONES,SIMACOTA,30,0,30,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta creciente súbita del rio Opón en sectores de las veredas el Opón y la Rochela, afectación en viviendas, establecimientos comerciales, cultivos de yuca, plátano y cítricos. Afectación en la vía nacional troncal del Magdalena por el desbordamiento a la altura del puente el Opón. Se realizan los EDAN por funcionarios del CMGRD"
41,03/16/2023 12:00:00 AM,INUNDACIONES,RIONEGRO,20,0,0,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta el desbordamiento del rio Cachira en el sector el Taladro causando inundación en gran cantidad de hectáreas de cultivos de palma de aceite, pastos para ganadería y afectación en viviendas, se coordina el desplazamiento de personal del CMGRD  para realizar la Evaluación de Daños y Análisis de Necesidades EDAN."
42,03/16/2023 12:00:00 AM,INUNDACIONES,SABANA DE TORRES,25,0,5,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta el desbordamiento del rio Lebrija en el sector el Bocas de la Tigra causando inundación en gran cantidad de hectáreas de cultivos de palma de aceite, pastos para ganadería y afectación en viviendas, se coordina el desplazamiento de personal del CMGRD  para realizar la Evaluación de Daños y Análisis de Necesidades EDAN."
43,03/17/2023 12:00:00 AM,MOVIMIENTO EN MASA,FLORIDABLANCA,3,0,3,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta deslizamientos y creciente súbita Quebrada la Judía 03 viviendas afectadas y cierre de la vía entre el Santísimo y la Judía, atiende el CMGRD bomberos de Floridablanca y la comunidad"
44,03/17/2023 12:00:00 AM,MOVIMIENTO EN MASA,BUCARAMANGA,50,8,35,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD. movimiento en masa y activación de falla geológico, que genera hundimiento de la vía y grietas en varias viviendas 20 viviendas evacuadas hacia el salón comunal, Las lluvias del lunes 21 en horas de la noche, causó la evacuación de dos viviendas más en el sector Zarabanda al norte de la ciudad"
45,03/21/2023 12:00:00 AM,INUNDACIONES,RIONEGRO,100,0,15,0,0,0,0,0,N/A,N/A,0,0,"EL CMGRD reporta creciente súbita del rio Lebrija que causa desbordamiento en el bajo Rionegro, sectores de Papaya, el Taladro, la Platanala, San Rafael y los Chorros. Se adelantan vivitas técnicas para coordinar la respuesta a las emergencias y caracterizar las familias afectadas."
46,03/27/2023 12:00:00 AM,GRANIZADA,CHARALA,10,0,0,0,0,0,0,10,N/A,N/A,0,0,"El CMGRD reporta Granizadas durante dos días seguidos en Charalá, afectación en cultivos de café, cítricos y pastizales, se adelanta la evaluación de daños y análisis de necesidades EDAN"
47,04/03/2023 12:00:00 AM,MOVIMIENTO EN MASA,ONZAGA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reportó creciente súbita de la quebrada Santa Clara, causando cierre de la vía nacional entre San Joaquin y Onzaga por la cantidad de material de arrastre de un fenómeno de remoción en masa que se encuentra en el sector, atendió INVIAS con maquinaria amarilla, PASO RESTRINGIDO"
48,04/03/2023 12:00:00 AM,MOVIMIENTO EN MASA,SIMACOTA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reportó cierre de la vía terciaria  hacia la vereda el Salto por deslizamientos causados por las fuertes lluvias en la zona, se rehabilitó el paso con maquinaria amarilla de la alcaldía municipal."
49,04/04/2023 12:00:00 AM,INCENDIO FORESTAL,CERRITO,0,0,0,0,0,0,0,2,N/A,N/A,0,0,"El comandante de bomberos reporta la atención y liquidación de un incendio forestal en la vereda Siberia que amenazaba con expandirse hacia el páramo del Almorzadero, afectación de 2 hectáreas de vegetación nativa de paramos (frailejones y Romeros)"
50,04/05/2023 12:00:00 AM,INCENDIO ESTRUCTURAL,FLORIDABLANCA,1,0,1,0,0,0,0,0,N/A,N/A,0,0,"El comandante de bomberos reporta la atención y liquidación de un incendio forestal en la vereda Siberia que amenazaba con expandirse hacia el páramo del Almorzadero, afectación de 2 hectáreas de vegetación nativa de paramos (frailejones y Romeros)"
51,04/09/2023 12:00:00 AM,GRANIZADA,OCAMONTE,6,0,0,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias y presencia de granizo en las veredas el Hatillo y Agua Fría, se presentó caía de árboles en las vías terciarias hacia las veredas, afectación en cultivos de plátano, café y caña de azúcar, se adelanta la Evaluación de Daños y Análisis de Necesidades"
52,04/11/2023 12:00:00 AM,AVENIDA TORRENCIAL,MALAGA,8,0,0,1,3,3,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias que generó avenida torrencial en la quebrada en Término en la vereda Calichal, afectación de un puente vehicular en la vía nacional Troncal del Norte en el PR 43, dos puentes en vías terciarias en las veredas Pantano Grande y Aguas Calientes, evacuación de 8 familias y perdida de cultivos, se adelantan los EDAN"
53,04/11/2023 12:00:00 AM,AVENIDA TORRENCIAL,SAN ANDRES,4,0,0,0,2,2,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias que generó avenida torrencial del río Congreso en el corregimiento de Pangote, éste causó el colapso de un puente vehicular que une a San Andrés con el corregimiento Laguna de Ortices y vereda el Caracol y un puente peatonal que une a las Veredas Pangua y Santa Cruz, mas de 2000 personas incomunicadas y 2 familias afectadas, se adelantan los EDAN."
54,04/15/2023 12:00:00 AM,TORMENTAS ELECTRICAS,PIEDECUESTA,3,0,3,0,2,0,0,0,N/A,N/A,0,0,"El Alcalde municipal reporta diferentes afectaciones en su jurisdicción por las tormentas, cierre de la vía hacia el municipio de la Mesa de los Santos por varios deslizamientos en el sector Tres Esquinas, de la misma manera hacia las veredas el Mancito, la Navarra, el Recreo, el Jazmín, se coordina la remoción de escombros con el apoyo de maquinaria del consorcio vial y el ejército, de la misma manera una vivienda afectada por la caía de un árbol, se coordinan ayudas con el CMGRD  y organismos de socorro"
