ITEM,FECHA,EVENTO,MUNICIPIO,Familias Damnificadas/ Afectadas,Viviendas Destruidas,Viviendas Averiadas,Acueducto destruidos,Vias Destruidas,Puentes Obstruidos,Establecimientos  Educativos,Afectacion Cultivos Has,Alertas,Albergues,Desaparecidos,Fallecidos,OBSERVACIONES
80,05/30/2023 12:00:00 AM,INUNDACIONES,CIMITARRA,100,0,10,0,0,0,0,0,N/A,N/A,0,0,"EL CMGRD reporta desbordamiento de los caños Fondo Oscuro y Caño Baúl a causa de las lluvias de las últimas horas, más de 100 familias afectadas en las veredas San Juancito y Fondo Oscuro. Se adelanta la evaluación de daños y análisis de necesidades."
81,05/31/2023 12:00:00 AM,INUNDACIONES,CIMITARRA,0,0,0,0,0,0,0,0,N/A,N/A,0,0,"El comandante de bomberos reporta inundaciones en algunos sectores del casco urbano es especial en el área de urgencias del Hospital regional a causa del colapso e alcantarillados por las fuertes lluvias y desbordamiento de la quebrada las Flores, atiende bomberos voluntarios de Velez"
82,06/01/2023 12:00:00 AM,INUNDACIONES,BARRANCABERMEJA,250,0,0,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta inundaciones en el sector Pozo 7, asentamiento la bendición de Dios por colapso del alcantarillado a causa de las fuertes lluvias, cerca de 250 familias afectadas se adelantan los EDAN por bomberos voluntarios, defensa civil y policía nacional"
83,06/01/2023 12:00:00 AM,INUNDACIONES,TONA,100,0,0,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta creciente del rio Jordan y sus aportantes por las fuertes lluvias, causa desbordamiento y daños en cultivos de cebolla y daños en la cubierta del centro de salud, se adelanta la evaluación de daños y análisis de necesidades."
84,06/08/2023 12:00:00 AM,TORMENTAS ELECTRICAS,BUCARAMANGA,5,0,0,0,2,0,0,0,N/A,N/A,0,0,"Ante la lluvia es presentadas por más de 5 horas de la tarde y no che de hoy jueves 08-06-2’203en Bucaramanga y el área metropolitana se presenta colapso de alcantarillados principalmente en sectores de Chimitá entre la calle 45 y el puente el Palenque, en la zona norte de Bucaramanga en especial en los Colorados y en sectores de regaderos y la vía hacia matanza, se presenta creciente súbita de la quebrada Río frío, el río de oro y el río Tona, también se presenta deslizamientos y caídas de rocas en la vía que conduce desde el aeropuerto Palo Negro y entre Bucaramanga y el municipio de Girón Así mismo hacia el municipio de Río Negro"
85,06/08/2023 12:00:00 AM,TORMENTAS ELECTRICAS,LEBRIJA,10,0,0,0,1,0,0,0,N/A,N/A,0,0,"EL CMGRD reporta tormentas eléctricas, e inundaciones y deslizamientos en el casco urbano y veredas Chuspas, Conchal y Vanegas, donde se presenta creciente súbita del rio Lebrija varias viviendas afectadas, atienden bomberos voluntarios y policía nacional quienes adelantan los EDAN"
86,06/08/2023 12:00:00 AM,INUNDACIONES,CIMITARRA,20,0,5,0,1,0,0,0,N/A,N/A,0,0,"EL CMGRD reporta inundaciones en el centro poblado Cascajero por las fuertes lluvias que causan colapso del alcantarillado, 20 viviendas afectadas, se coordina la evaluación de daños y análisis de necesidades."
87,06/11/2023 12:00:00 AM,AVENIDA TORRENCIAL,VELEZ,5,0,0,0,1,1,0,0,N/A,N/A,0,0,"EL CMGRD informa que las fuertes lluvias genera avenida torrencial de la quebrada el Palenque en la vereda San Vicente y colapsa un puente vehicular que comunica a las veredas San Pablo, Ejidos y San Vicente. Se presentan perdida de cultivos de caña, guayaba y pastizales. Atienden CMGRD bomberos voluntarios y Defensa civil, quienes adelantan la Evaluación de Daños"
88,06/15/2023 12:00:00 AM,VENDAVAL,CIMITARRA,10,0,10,0,0,0,0,0,N/A,N/A,0,0,"EL CMGR reporta lluvias acompañadas de fuertes vientos que causan afectaciones en techos y cubiertas de 10 viviendas de la vereda Monterredonda, se adelanta los EDAN por la defensa civil y el CMGRD"
89,06/18/2023 12:00:00 AM,AVENIDA TORRENCIAL,CERRITO,50,0,0,0,1,4,0,0,N/A,N/A,0,0,"El comandante de bomberos reporta, las fuertes lluvias que se presentaron el día sábado 18 de junio en el páramo del Almorzadero, generó avenida torrencial del rio Servitá. Afectaciones en la via hacia la vereda Corralfalso, pérdida de puentes colgantes en los sectores Juarado, Mortiño y Boyagá. Afectación en postes de energía. Se adelanta la Evaluación de Daños"
90,06/18/2023 12:00:00 AM,GRANIZADA,OIBA,5,0,0,0,0,0,0,0,N/A,N/A,0,0,"El comandante de bomberos reporta fuertes lluvias y granizada en Sectores la Libertad y la Palma, vereda la Peñuela que afectó cultivos de café, plátano y cítricos. Se coordina la Evaluación de Daños y Censo de afectados."
91,06/25/2023 12:00:00 AM,GRANIZADA,ARATOCA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias en el corredor vial entre pescadero y Curití que causa afectaciones a cultivos de café y caída de arboles y ramas, afectando la movilidad en la vía, atienden los bomberos voluntarios, policía nacional e INVIAS"
92,07/01/2023 12:00:00 AM,INUNDACIONES,CIMITARRA,10,0,10,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta, inundaciones por desbordamiento de las quebradas Caño Baúl y Monte oscuro, inundaciones de varias viviendas y cultivos de yuca y plátano, el CMGRD  Se adelanta la Evaluación de Daños y Análisis de Necesidades"
93,07/01/2023 12:00:00 AM,GRANIZADA,PARAMO,6,0,6,0,0,0,0,0,N/A,N/A,0,0,"El comandante de bomberos reporta granizada y fuertes lluvias en la vereda el Palmar y Palmarito, perdida de cultivos de cafe, Tomate y Platano, arveja. se coordina reunión del CMGRD para enviar técnicos de la UMATA a realizar la evaluación de daños"
94,07/02/2023 12:00:00 AM,VENDAVAL,LOS SANTOS,30,0,30,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias y vientos ligeros, en la vereda Purnia varias viviendas y establecimientos comerciales presentan afectación en techos y cubiertas, perdida de electrodomésticos, Acciones de respuesta: se coordina reunión del CMGRD con el fin de realizar la evaluación de daños."
95,07/02/2023 12:00:00 AM,CRECIENTE SUBITA,CURITI,0,0,0,0,0,0,0,0,N/A,N/A,0,0,"El comandante de bomberos reporta creciente súbita de la quebrada Curití, vereda Pescaderito sector Zamorano, varios turistas se encontraban en paseo de rio y fueron sorprendidos por la creciente la quebrada Curití, en la salida de emergencia del lugar perdieron celulares, documentos y elementos usados en los paseos. la reacción oprtuna de la defensa civil y el cuerpo de bomberos permitió que se rescataran los turistas a áreas seguras, no hay reporte de lesionados"
96,07/08/2023 12:00:00 AM,TORMENTAS ELECTRICAS,SUAITA,1,0,1,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta tormentas eléctricas en el corregimiento San José de Suaita, se reportan tres menores de edad un bebe de brazos y dos de 14 y 16 años, lesionadas por la caída de un rayo cerca de su vivienda, atendió policía nacional, las menores fueron trasladadas al hospital del Socorro. Se adelantan los EDAN para determinar más afectaciones."
97,07/10/2023 12:00:00 AM,INUNDACIONES,EL SOCORRO,2,0,2,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias sobre el casco urbano que causo el colapso de alcantarillados y colectores de aguas lluvias, esto generó afectación en varios vehículos y motocicletas que fueron arrastrados por las aguas, algunas viviendas afectadas, se adelantan los EDAN."
98,07/13/2023 12:00:00 AM,INCENDIO FORESTAL,PIEDECUESTA,0,0,0,0,0,0,0,8,N/A,N/A,0,0,"El comandante de bomberos reporta atención de dos incendios forestales en las veredas San Francisco y San Miguel simultáneamente, 4 máquinas contraincendios y 15 unidades, apoyados por 6 unidades de defensa civil y la comunidad controlaron y liquidaron la conflagración, causas por establecer, afectación de 8 hectáreas de pastizales y bosque nativo, estado LIQUIDADO"
99,07/17/2023 12:00:00 AM,EROSION,PUERTO WILCHES,0,0,0,0,0,0,0,0,N/A,N/A,0,0,"El alcalde municipal informa que el municipio se encuentra en alerta por riesgo de desbordamiento del rio Magdalena en el sector Vuelta Perico, se ha destinado maquinaria amarilla para reconstruir un dique de protección, causa probable transito de los remolcadores de IMPALA causan oleaje en el sector."
100,07/19/2023 12:00:00 AM,INCENDIO FORESTAL,EL HATO,0,0,0,0,0,0,0,10,N/A,N/A,0,0,"El CMGRD reporta atención de incendio forestal en la vereda Hoya Grande, atendido por el CMGRD, bomberos voluntarios y comunidad, 10 hectáreas de bosque natico y pastizales afectada, causas desconocidas"
101,07/22/2023 12:00:00 AM,TORMENTAS ELECTRICAS,EL CARMEN DE CHUCURI,10,0,10,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta lluvias y fuertes vientos en el casco urbano que causo afectación en techos y cubiertas de 10 viviendas y la plaza de mercado, caída de ramas y árboles que causaron cierres viales, atienden bomberos y defensa civil quienes retiran los árboles y adelantan la evaluación de daños y análisis de necesidades"
102,07/25/2023 12:00:00 AM,TORMENTAS ELECTRICAS,OCAMONTE,10,0,10,0,1,0,0,0,N/A,N/A,0,0,"reportan del municipio Ocamonte sector: vereda Miraflores, la Cañada y Guaduas tormentas eléctricas varias viviendas destechadas y la escuela de coordina hacer la evaluación de daños y análisis de necesidades no hay reporte de lesionados"
